GridValue,BuyTimeMA7/USDT,BuyTimeMA25/USDT,SellTimeMA7/USDT,SellTimeMA25/USDT,BTCAmmountBuying,BuyTimePriceBinanceBTC/USDT,SellTimePriceBinanceBTC/USDT,Profit/USDT,BuyDateAndTime,SellDateAndTime
-50,41251.72142857149,41305.05680000001,41197.148571428625,41194.851200000005,0.0012139826521879002,41217.0,41192.81,-0.029366240356431206,21/03/2022 23:47:10
-50,42441.577142857146,42492.6223999999,42484.25714285716,42484.1507999999,0.0011741449524212983,42410.25,42481.12,0.08321165277809683,22/03/2022 09:37:23
-50,42803.3742857143,42873.263999999974,42854.31714285717,42845.189999999966,0.0011671370618071436,42697.0,42867.11,0.19854168558401142,22/03/2022 14:03:12
-100,42758.05000000003,42863.92719999998,42853.9985714286,42845.100799999964,0.0011671370618071436,42711.23,42867.61,0.18251689372539914,22/03/2022 14:03:28
-50,42898.06428571445,42963.66200000002,42783.59857142853,42622.06679999992,0.0011671370618071436,42847.35,42854.36,0.00818163080327139,23/03/2022 23:48:32
-100,42842.46142857159,42942.79560000001,42778.27285714282,42620.575599999924,0.0011671370618071436,42796.16,42840.71,0.051995956103503715,23/03/2022 23:48:47
-150,42381.24000000018,42539.59999999988,42807.322857142826,42636.42799999993,0.0011671370618071436,42310.47,42867.09,0.6496518313430855,23/03/2022 23:49:02
-50,42923.90428571425,42978.10119999992,42969.08857142855,42968.32319999994,0.0011671370618071436,42792.08,42996.49,0.23857448680399074,24/03/2022 00:41:10
-100,42862.72285714281,42972.73999999992,42973.25714285712,42969.49039999994,0.0011671370618071436,42842.41,43024.38,0.21238393113703324,24/03/2022 00:41:25
-50,43013.268571428554,43066.55039999994,43018.471428571436,43008.46439999993,0.0011671370618071436,42967.35,43027.86,0.0706234636099552,24/03/2022 01:16:14
-50,42914.59999999999,42965.27399999992,42801.28428571428,42795.65799999995,0.0011671370618071436,42808.62,42829.19,0.024008009361367044,24/03/2022 01:54:06
-100,42843.708571428564,42947.17519999992,42829.21714285714,42796.63319999993,0.0011671370618071436,42835.18,42853.22,0.021055152594996684,24/03/2022 01:56:24
-50,42748.66142857144,42809.1787999999,42766.82857142859,42760.78159999989,0.0011671370618071436,42695.32,42759.69,0.07512861266852866,24/03/2022 02:29:11
-50,42864.454285714346,42914.88679999995,42894.59571428577,42894.50999999994,0.0011671370618071436,42845.87,42889.0,0.05033862147573842,24/03/2022 03:31:41
-50,42812.4928571429,42867.14159999994,42768.63857142865,42753.801199999914,0.0011671370618071436,42772.98,42774.32,0.0015639636628179687,24/03/2022 04:13:55
-50,42836.37857142867,42887.999599999894,42873.25571428584,42867.97559999991,0.0011671370618071436,42795.58,42858.07,0.07293439499232335,24/03/2022 05:18:02
